Date,TSLA,AAPL,AMZN,GOOGL,NFLX
5/15/2017,63.175999,38.924999,957.969971,959.219971,160.020004
5/16/2017,63.402,38.8675,966.070007,964.609985,159.410004
5/17/2017,61.222,37.5625,944.76001,942.169983,153.199997
5/18/2017,62.612,38.134998,958.48999,950.5,155.699997
5/19/2017,62.166,38.264999,959.840027,954.650024,157.020004
5/22/2017,62.07,38.497501,970.669983,964.070007,157.160004
5/23/2017,60.771999,38.450001,971.539978,970.549988,157.949997
5/24/2017,62.043999,38.334999,980.349976,977.609985,157.75
5/25/2017,63.366001,38.467499,993.380005,991.859985,163.050003
5/26/2017,65.028,38.4025,995.780029,993.27002,162.429993
5/30/2017,67.019997,38.4175,996.700012,996.169983,163.220001
5/31/2017,68.202003,38.189999,994.619995,987.090027,163.070007
6/1/2017,68.073997,38.294998,995.950012,988.289978,162.990005
6/2/2017,67.970001,38.862499,1006.72998,996.119995,165.179993
6/5/2017,69.463997,38.482498,1011.340027,1003.880005,165.059998
6/6/2017,70.57,38.612499,1003,996.679993,165.169998
6/7/2017,71.93,38.842499,1010.070007,1001.5,165.610001
6/8/2017,74,38.747501,1010.27002,1004.280029,165.880005
6/9/2017,71.463997,37.244999,978.309998,970.119995,158.029999
6/12/2017,71.802002,36.355,964.909973,961.809998,151.440002
6/13/2017,75.190002,36.647499,980.789978,970.5,152.720001
6/14/2017,76.132004,36.290001,976.469971,967.929993,152.199997
6/15/2017,75.068001,36.072498,964.169983,960.179993,151.759995
6/16/2017,74.279999,35.567501,987.710022,958.619995,152.380005
6/19/2017,73.959999,36.584999,995.169983,975.219971,153.399994
6/20/2017,74.447998,36.252499,992.590027,968.98999,152.050003
6/21/2017,75.279999,36.467499,1002.22998,978.590027,155.029999
6/22/2017,76.522003,36.407501,1001.299988,976.619995,154.889999
6/23/2017,76.690002,36.57,1003.73999,986.090027,158.020004
6/26/2017,75.498001,36.455002,993.97998,972.090027,157.5
6/27/2017,72.473999,35.932499,976.780029,948.090027,151.029999
6/28/2017,74.248001,36.4575,990.330017,961.01001,153.410004
6/29/2017,72.150002,35.919998,975.929993,937.820007,150.089996
6/30/2017,72.321999,36.005001,968,929.679993,149.410004
7/3/2017,70.524002,35.875,953.659973,919.460022,146.169998
7/5/2017,65.417999,36.022499,971.400024,932.26001,147.610001
7/6/2017,61.765999,35.682499,965.140015,927.690002,146.25
7/7/2017,62.644001,36.044998,978.76001,940.809998,150.179993
7/10/2017,63.209999,36.264999,996.469971,951,152.669998
7/11/2017,65.444,36.3825,994.130005,953.530029,154.330002
7/12/2017,65.903999,36.435001,1006.51001,967.659973,158.75
7/13/2017,64.681999,36.942501,1000.630005,968.849976,158.210007
7/14/2017,65.556,37.259998,1001.809998,976.909973,161.119995
7/17/2017,63.914001,37.389999,1010.039978,975.960022,161.699997
7/18/2017,65.648003,37.52,1024.449951,986.950012,183.600006
7/19/2017,65.052002,37.755001,1026.869995,992.77002,183.860001
7/20/2017,65.984001,37.584999,1028.699951,992.190002,183.600006
7/21/2017,65.68,37.567501,1025.670044,993.840027,188.539993
7/24/2017,68.503998,38.022499,1038.949951,998.309998,187.910004
7/25/2017,67.919998,38.185001,1039.869995,969.030029,186.970001
7/26/2017,68.769997,38.365002,1052.800049,965.309998,189.080002
7/27/2017,66.891998,37.639999,1046,952.51001,182.679993
7/28/2017,67.014,37.375,1020.039978,958.330017,184.039993
7/31/2017,64.694,37.182499,987.780029,945.5,181.660004
8/1/2017,63.914001,37.512501,996.190002,946.559998,182.029999
8/2/2017,65.178001,39.285,995.890015,947.640015,180.740005
8/3/2017,69.417999,38.892502,986.919983,940.299988,179.229996
8/4/2017,71.382004,39.0975,987.580017,945.789978,180.270004
8/7/2017,71.033997,39.702499,992.27002,945.75,181.330002
8/8/2017,73.043999,40.02,989.840027,944.190002,178.360001
8/9/2017,72.706001,40.264999,982.01001,940.080017,175.779999
8/10/2017,71.080002,38.830002,956.919983,923.590027,169.139999
8/11/2017,71.573997,39.369999,967.98999,930.090027,171.399994
8/14/2017,72.760002,39.962502,983.299988,938.929993,171
8/15/2017,72.466003,40.400002,982.73999,938.080017,168.5
8/16/2017,72.582001,40.237499,978.179993,944.27002,169.979996
8/17/2017,70.384003,39.465,960.570007,927.659973,166.089996
8/18/2017,69.491997,39.375,958.469971,926.179993,166.539993
8/21/2017,67.571999,39.302502,953.289978,920.869995,166.759995
8/22/2017,68.269997,39.945,966.900024,940.400024,169.339996
8/23/2017,70.554001,39.994999,958,942.580017,169.059998
8/24/2017,70.585999,39.817501,952.450012,936.890015,168.130005
8/25/2017,69.610001,39.965,945.26001,930.5,165.949997
8/28/2017,69.132004,40.3675,946.02002,928.130005,167.119995
8/29/2017,69.472,40.727501,954.059998,935.75,168.809998
8/30/2017,70.636002,40.837502,967.590027,943.630005,174.690002
8/31/2017,71.18,41,980.599976,955.23999,174.710007
9/1/2017,71.080002,41.012501,978.25,951.98999,174.740005
9/5/2017,69.917999,40.52,965.27002,941.47998,174.520004
9/6/2017,68.905998,40.477501,967.799988,942.02002,179.25
9/7/2017,70.122002,40.314999,979.469971,949.890015,179
9/8/2017,68.68,39.657501,965.900024,941.409973,176.419998
9/11/2017,72.737999,40.375,977.960022,943.289978,181.740005
9/12/2017,72.550003,40.215,982.580017,946.650024,185.149994
9/13/2017,73.246002,39.912498,999.599976,950.440002,183.639999
9/14/2017,75.528,39.57,992.210022,940.130005,182.630005
9/15/2017,75.961998,39.970001,986.789978,935.289978,182.350006
9/18/2017,77,39.6675,974.190002,929.75,184.619995
9/19/2017,75.019997,39.682499,969.859985,936.859985,185.679993
9/20/2017,74.781998,39.017502,973.210022,947.539978,185.509995
9/21/2017,73.295998,38.3475,964.650024,947.549988,188.779999
9/22/2017,70.218002,37.9725,955.099976,943.26001,187.350006
9/25/2017,68.998001,37.637501,939.789978,934.280029,178.550003
9/26/2017,69.050003,38.285,938.599976,937.429993,179.380005
9/27/2017,68.194,38.557499,950.869995,959.900024,181.970001
9/28/2017,67.919998,38.32,956.400024,964.809998,180.699997
9/29/2017,68.220001,38.529999,961.349976,973.719971,181.350006
10/2/2017,68.306,38.452499,959.190002,967.469971,177.009995
10/3/2017,69.627998,38.619999,957.099976,972.080017,179.190002
10/4/2017,71.001999,38.369999,965.450012,966.780029,184.449997
10/5/2017,71.066002,38.8475,980.849976,985.190002,194.389999
10/6/2017,71.375999,38.825001,989.580017,993.640015,198.020004
10/9/2017,68.587997,38.959999,990.98999,992.309998,196.869995
10/10/2017,71.117996,38.974998,987.200012,987.799988,195.080002
10/11/2017,70.919998,39.137501,995,1005.650024,194.949997
10/12/2017,71.136002,39,1000.929993,1005.650024,195.860001
10/13/2017,71.113998,39.247501,1002.940002,1007.869995,199.490005
10/16/2017,70.120003,39.970001,1006.340027,1009.349976,202.679993
10/17/2017,71.150002,40.1175,1009.130005,1011,199.479996
10/18/2017,71.93,39.939999,997,1012.73999,195.539993
10/19/2017,70.362,38.994999,986.609985,1001.840027,195.130005
10/20/2017,69.019997,39.0625,982.909973,1005.070007,194.160004
10/23/2017,67.403999,39.0425,966.299988,985.539978,192.470001
10/24/2017,67.468002,39.275002,975.900024,988.48999,196.020004
10/25/2017,65.167999,39.102501,972.909973,991.460022,193.770004
10/26/2017,65.234001,39.352501,972.429993,991.419983,195.210007
10/27/2017,64.174004,40.762501,1100.949951,1033.670044,199.539993
10/30/2017,64.015999,41.68,1110.849976,1033.130005,198.369995
10/31/2017,66.306,42.259998,1105.280029,1033.040039,196.429993
11/1/2017,64.216003,41.7225,1103.680054,1042.599976,198
11/2/2017,59.852001,42.0275,1094.219971,1042.969971,199.320007
11/3/2017,61.217999,43.125,1111.599976,1049.98999,200.009995
11/6/2017,60.556,43.5625,1120.660034,1042.680054,200.130005
11/7/2017,61.209999,43.702499,1123.170044,1052.390015,195.889999
11/8/2017,60.877998,44.060001,1132.880005,1058.290039,196.440002
11/9/2017,60.598,43.970001,1129.130005,1047.719971,193.899994
11/10/2017,60.598,43.6675,1125.349976,1044.150024,192.020004
11/13/2017,63.080002,43.4925,1129.170044,1041.199951,195.080002
11/14/2017,61.740002,42.834999,1136.839966,1041.640015,195.710007
11/15/2017,62.259998,42.27,1126.689941,1036.410034,192.119995
11/16/2017,62.5,42.775002,1137.290039,1048.469971,195.509995
11/17/2017,63.009998,42.537498,1129.880005,1035.890015,193.199997
11/20/2017,61.748001,42.494999,1126.310059,1034.660034,194.100006
11/21/2017,63.562,43.285,1139.48999,1050.300049,196.229996
